date,cash,position,portfolio_value,close,signal,daily_return
2022-05-12,149177906728.6001,0,149177906728.6001,28.53,sell,0.0
2022-05-13,4475337203.130096,4648331819,151502072638.1001,31.63,buy,0.015579826533753175
2022-05-16,4475337203.130096,4648331819,146946707455.4801,30.65,hold,-0.030068005693239613
2022-05-17,150711856228.8701,0,150711856228.8701,32.96,sell,0.02562254601404184
2022-05-18,150711856228.8701,0,150711856228.8701,28.15,sell,0.0
2022-05-19,150711856228.8701,0,150711856228.8701,27.58,sell,0.0
2022-05-20,150711856228.8701,0,150711856228.8701,27.34,sell,0.0
2022-05-23,150711856228.8701,0,150711856228.8701,28.69,sell,0.0
2022-05-24,150711856228.8701,0,150711856228.8701,26.9,sell,0.0
2022-05-25,4521355706.070068,5266228405,151870426477.97006,27.98,buy,0.007687319883716235
2022-05-26,4521355706.070068,5266228405,164193400945.67007,30.32,buy,0.08114137000522317
2022-05-27,4521355706.070068,5266228405,179834099308.52005,33.29,buy,0.09525777694333357
2022-05-31,4521355706.070068,5266228405,178570204491.32007,33.05,buy,-0.007028115480099618
2022-06-01,4521355706.070068,5266228405,174515208619.47006,32.28,buy,-0.022708132543170778
2022-06-02,4521355706.070068,5266228405,188312727040.57007,34.9,hold,0.07906198279363409
2022-06-03,4521355706.070068,5266228405,173777936642.77008,32.14,hold,-0.07718432325962023
2022-06-06,169986252191.17007,0,169986252191.17007,32.54,sell,-0.021819136104685454
2022-06-07,169986252191.17007,0,169986252191.17007,33.33,hold,0.0
2022-06-08,169986252191.17007,0,169986252191.17007,32.65,sell,0.0
2022-06-09,169986252191.17007,0,169986252191.17007,29.99,sell,0.0
2022-06-10,169986252191.17007,0,169986252191.17007,26.79,sell,0.0
2022-06-13,169986252191.17007,0,169986252191.17007,23.08,sell,0.0
2022-06-14,169986252191.17007,0,169986252191.17007,23.23,sell,0.0
2022-06-15,169986252191.17007,0,169986252191.17007,24.9,sell,0.0
2022-06-16,169986252191.17007,0,169986252191.17007,21.86,sell,0.0
2022-06-17,5099587585.810059,6922194148,162025728920.97006,22.67,buy,-0.046830394620662866
2022-06-21,5099587585.810059,6922194148,173862680914.05005,24.38,buy,0.07305600210478669
2022-06-22,5099587585.810059,6922194148,173239683440.73004,24.29,buy,-0.0035832731328236532
2022-06-23,5099587585.810059,6922194148,180438765354.65005,25.33,buy,0.04155561688256613
2022-06-24,5099587585.810059,6922194148,198782579846.85007,27.98,buy,0.10166227005680006
2022-06-27,5099587585.810059,6922194148,194213931709.17007,27.32,hold,-0.02298314138592959
2022-06-28,176631558573.25006,0,176631558573.25006,24.83,sell,-0.09053095718307749
2022-06-29,176631558573.25006,0,176631558573.25006,24.88,sell,0.0
2022-06-30,176631558573.25006,0,176631558573.25006,24.0,sell,0.0
2022-07-01,5298946771.610046,7318778804,183803961801.17004,24.39,buy,0.04060657838188949
2022-07-05,5298946771.610046,7318778804,193025623094.21002,25.65,buy,0.05017117804574588
2022-07-06,5298946771.610046,7318778804,196611824708.17004,26.14,buy,0.01857888893957723
2022-07-07,5298946771.610046,7318778804,208468246370.65005,27.76,buy,0.0603037059448405
2022-07-08,5298946771.610046,7318778804,209419687615.17004,27.89,hold,0.004563962431133785
2022-07-11,5298946771.610046,7318778804,196392261344.05005,26.11,hold,-0.06220726627698545
2022-07-12,179778633458.97003,0,179778633458.97003,25.35,sell,-0.08459410656703734
2022-07-13,179778633458.97003,0,179778633458.97003,25.19,sell,0.0
2022-07-14,5393359015.100037,6638190881,174335316936.55002,25.45,buy,-0.030277883515352863
2022-07-15,5393359015.100037,6638190881,183230492717.09003,26.79,buy,0.051023372296833236
2022-07-18,5393359015.100037,6638190881,179114814370.87006,26.17,buy,-0.02246175451034029
2022-07-19,5393359015.100037,6638190881,194316271488.36005,28.46,buy,0.08486990409410963
2022-07-20,5393359015.100037,6638190881,203808884448.19003,29.89,buy,0.0488513539659936
2022-07-21,5393359015.100037,6638190881,212239386867.06003,31.16,buy,0.0413647444354326
2022-07-22,5393359015.100037,6638190881,201419135731.03003,29.53,hold,-0.05098135315857965
2022-07-25,194515417214.79004,0,194515417214.79004,29.09,sell,-0.034275385460193014
2022-07-26,5835462522.990021,6597201213,186136971674.28,27.33,buy,-0.043073426571932326
2022-07-27,5835462522.990021,6597201213,208633427810.61002,30.74,buy,0.12085968700348491
2022-07-28,5835462522.990021,6597201213,214438964878.05002,31.62,buy,0.02782649515163055
2022-07-29,5835462522.990021,6597201213,225918094988.67,33.36,buy,0.053530990121819035
2022-08-01,5835462522.990021,6597201213,225588234928.02005,33.31,buy,-0.0014600869428653164
2022-08-02,5835462522.990021,6597201213,223543102551.99002,33.0,buy,-0.009065775866736061
2022-08-03,5835462522.990021,6597201213,240959713754.31003,35.64,buy,0.07791164658399326
2022-08-04,5835462522.990021,6597201213,244324286372.94,36.15,hold,0.013963216365954836
2022-08-05,5835462522.990021,6597201213,238650693329.76,35.29,hold,-0.02322156805369623
2022-08-08,231987520104.63004,0,231987520104.63004,34.93,sell,-0.02792019219455194
2022-08-09,6959625615.77002,6228283822,217039638931.83,33.73,buy,-0.06443398837169481
2022-08-10,6959625615.77002,6228283822,234291985118.77002,36.5,buy,0.07948937932189809
2022-08-11,6959625615.77002,6228283822,230866429016.67004,35.95,buy,-0.014620884706591447
2022-08-12,6959625615.77002,6228283822,243509845175.33,37.98,buy,0.054765070055928344
2022-08-15,6959625615.77002,6228283822,249177583453.35004,38.89,buy,0.02327519149765469
2022-08-16,6959625615.77002,6228283822,247620512497.85004,38.64,hold,-0.006248840421038549
2022-08-17,6959625615.77002,6228283822,239274612176.37,37.3,hold,-0.033704398061741775
2022-08-18,234167419442.33,0,234167419442.33,37.55,sell,-0.021344482340130103
2022-08-19,234167419442.33,0,234167419442.33,35.35,sell,0.0
2022-08-22,234167419442.33,0,234167419442.33,32.57,sell,0.0
2022-08-23,234167419442.33,0,234167419442.33,32.46,sell,0.0
2022-08-24,234167419442.33,0,234167419442.33,32.71,sell,0.0
2022-08-25,234167419442.33,0,234167419442.33,34.43,sell,0.0
2022-08-26,234167419442.33,0,234167419442.33,30.24,sell,0.0
2022-08-29,234167419442.33,0,234167419442.33,29.31,sell,0.0
2022-08-30,234167419442.33,0,234167419442.33,28.33,sell,0.0
2022-08-31,234167419442.33,0,234167419442.33,27.81,sell,0.0
2022-09-01,234167419442.33,0,234167419442.33,27.84,sell,0.0
2022-09-02,234167419442.33,0,234167419442.33,26.68,sell,0.0
2022-09-06,234167419442.33,0,234167419442.33,26.07,sell,0.0
