,date,cash,position,portfolio_value,close,volatility,ATR,rsi,signal
43,2010-06-29,100152.3624,0,100152.3624,0.4,0.04075774199107751,0.030714285714285715,45.45454545454546,hold
44,2010-06-30,100152.3624,0,100152.3624,0.38,0.0412974691716865,0.03071428571428571,33.33333333333333,hold
45,2010-07-01,100152.3624,0,100152.3624,0.38,0.03961686143611627,0.030714285714285715,30.0,hold
46,2010-07-02,100152.3624,0,100152.3624,0.38,0.03810235847857605,0.030000000000000002,30.0,hold
47,2010-07-06,100152.3624,0,100152.3624,0.38,0.03810452671547316,0.029285714285714293,12.500000000000014,hold
48,2010-07-07,100152.3624,0,100152.3624,0.42,0.03764345486262113,0.03071428571428572,26.315789473684205,hold
49,2010-07-08,100152.3624,0,100152.3624,0.42,0.039463583333370175,0.03071428571428572,26.315789473684205,hold
50,2010-07-09,100152.3624,0,100152.3624,0.44,0.03948125412658855,0.03071428571428572,30.0,hold
51,2010-07-12,100152.3624,0,100152.3624,0.44,0.039497714162782235,0.028571428571428574,33.33333333333333,hold
52,2010-07-13,100152.3624,0,100152.3624,0.46,0.03848667651446099,0.027857142857142858,42.10526315789475,hold
53,2010-07-14,100152.3624,0,100152.3624,0.46,0.03751967840734366,0.02714285714285714,44.44444444444445,hold
54,2010-07-15,100152.3624,0,100152.3624,0.46,0.036125805181729864,0.02714285714285714,50.0,hold
55,2010-07-16,100152.3624,0,100152.3624,0.43,0.03630971309425222,0.027857142857142858,42.10526315789473,hold
56,2010-07-19,100152.3624,0,100152.3624,0.44,0.036791669213696795,0.02785714285714286,45.0,hold
57,2010-07-20,100152.3624,0,100152.3624,0.45,0.036791669213696795,0.02571428571428572,66.66666666666666,hold
58,2010-07-21,100152.3624,0,100152.3624,0.43,0.038069513587642094,0.026428571428571437,66.66666666666666,hold
59,2010-07-22,100152.3624,0,100152.3624,0.46,0.0383371502150467,0.027142857142857146,72.22222222222221,hold
60,2010-07-23,100152.3624,0,100152.3624,0.48,0.03758536508739921,0.027142857142857142,74.99999999999999,hold
61,2010-07-26,100152.3624,0,100152.3624,0.49,0.03748051089860823,0.02642857142857143,76.19047619047618,hold
62,2010-07-27,100152.3624,0,100152.3624,0.49,0.03768691589358901,0.025,70.58823529411764,hold
63,2010-07-28,74500.82304,53414,100139.54304,0.48,0.027640291626165662,0.025,66.66666666666666,buy
64,2010-07-29,74500.82304,53414,99605.40304,0.47,0.025202889843566254,0.02642857142857143,58.823529411764696,buy
