,date,cash,position,portfolio_value,close,signal
1393,2015-09-04,918769.2399999909,7597659,29030107.53999999,3.7,buy
1394,2015-09-08,918769.2399999909,7597659,31385381.82999999,4.01,buy
1395,2015-09-09,918769.2399999909,7597659,30321709.569999993,3.87,hold
1396,2015-09-10,918769.2399999909,7597659,31233428.64999999,3.99,buy
1397,2015-09-11,918769.2399999909,7597659,31765264.779999986,4.06,buy
1398,2015-09-14,918769.2399999909,7597659,31461358.419999987,4.02,buy
1399,2015-09-15,918769.2399999909,7597659,32525030.679999992,4.16,buy
1400,2015-09-16,918769.2399999909,7597659,33056866.809999995,4.23,buy
1401,2015-09-17,918769.2399999909,7597659,33132843.39999999,4.24,hold
1402,2015-09-18,918769.2399999909,7597659,31765264.779999986,4.06,hold
1403,2015-09-21,30625615.929999992,0,30625615.929999992,4.1,sell
1404,2015-09-22,30625615.929999992,0,30625615.929999992,3.92,sell
1405,2015-09-23,30625615.929999992,0,30625615.929999992,3.92,sell
1406,2015-09-24,30625615.929999992,0,30625615.929999992,3.88,sell
1407,2015-09-25,30625615.929999992,0,30625615.929999992,3.78,sell
1408,2015-09-28,30625615.929999992,0,30625615.929999992,3.46,sell
1409,2015-09-29,30625615.929999992,0,30625615.929999992,3.41,sell
1410,2015-09-30,30625615.929999992,0,30625615.929999992,3.63,sell
1411,2015-10-01,918771.3699999936,8391764,31800462.889999993,3.68,buy
1412,2015-10-02,918771.3699999936,8391764,33394898.049999993,3.87,buy
1413,2015-10-05,918771.3699999936,8391764,34905415.56999999,4.05,buy
1414,2015-10-06,918771.3699999936,8391764,34401909.73,3.99,buy
1415,2015-10-07,918771.3699999936,8391764,34989333.20999999,4.06,buy
1416,2015-10-08,918771.3699999936,8391764,35408921.41,4.11,buy
1417,2015-10-09,918771.3699999936,8391764,35828509.61,4.16,buy
1418,2015-10-12,918771.3699999936,8391764,36080262.53,4.19,hold
1419,2015-10-13,918771.3699999936,8391764,35408921.41,4.11,hold
1420,2015-10-14,918771.3699999936,8391764,35241086.129999995,4.09,buy
1421,2015-10-15,918771.3699999936,8391764,36919438.92999999,4.29,buy
1422,2015-10-16,918771.3699999936,8391764,37422944.769999996,4.35,buy
1423,2015-10-19,918771.3699999936,8391764,38010368.25,4.42,buy
1424,2015-10-20,918771.3699999936,8391764,37422944.769999996,4.35,hold
1425,2015-10-21,918771.3699999936,8391764,36835521.28999999,4.28,buy
1426,2015-10-22,918771.3699999936,8391764,38933462.28999999,4.53,buy
1427,2015-10-23,918771.3699999936,8391764,42122332.61,4.91,buy
1428,2015-10-26,918771.3699999936,8391764,42290167.889999986,4.93,buy
1429,2015-10-27,918771.3699999936,8391764,42541920.80999999,4.96,buy
1430,2015-10-28,918771.3699999936,8391764,43465014.849999994,5.07,buy
1431,2015-10-29,918771.3699999936,8391764,43297179.56999999,5.05,buy
1432,2015-10-30,918771.3699999936,8391764,42793673.72999999,4.99,buy
1433,2015-11-02,918771.3699999936,8391764,44220273.61,5.16,buy
1434,2015-11-03,918771.3699999936,8391764,44555944.17,5.2,buy
1435,2015-11-04,918771.3699999936,8391764,44639861.80999999,5.21,hold
1436,2015-11-05,918771.3699999936,8391764,44220273.61,5.16,hold
1437,2015-11-06,43884603.05,0,43884603.05,5.18,sell
1438,2015-11-09,43884603.05,0,43884603.05,5.01,sell
1439,2015-11-10,43884603.05,0,43884603.05,4.98,sell
1440,2015-11-11,43884603.05,0,43884603.05,4.95,sell
1441,2015-11-12,43884603.05,0,43884603.05,4.81,sell
1442,2015-11-13,43884603.05,0,43884603.05,4.53,sell
1443,2015-11-16,1316540.0899999961,8980604,43704990.96999999,4.72,buy
1444,2015-11-17,1316540.0899999961,8980604,43794797.01,4.73,buy
1445,2015-11-18,1316540.0899999961,8980604,46219560.089999996,5.0,buy
1446,2015-11-19,1316540.0899999961,8980604,46309366.129999995,5.01,buy
1447,2015-11-20,1316540.0899999961,8980604,47207426.53,5.11,buy
1448,2015-11-23,1316540.0899999961,8980604,46848202.37,5.07,hold
1449,2015-11-24,1316540.0899999961,8980604,46668590.28999999,5.05,buy
1450,2015-11-25,1316540.0899999961,8980604,46758396.32999999,5.06,buy
1451,2015-11-27,1316540.0899999961,8980604,46938008.41,5.08,hold
1452,2015-11-30,1316540.0899999961,8980604,46668590.28999999,5.05,buy
1453,2015-12-01,1316540.0899999961,8980604,48015680.89,5.2,hold
1454,2015-12-02,47566650.69,0,47566650.69,5.11,sell
1455,2015-12-03,47566650.69,0,47566650.69,4.85,sell
1456,2015-12-04,47566650.69,0,47566650.69,5.18,hold
1457,2015-12-07,47566650.69,0,47566650.69,5.12,sell
1458,2015-12-08,47566650.69,0,47566650.69,5.12,sell
1459,2015-12-09,47566650.69,0,47566650.69,4.88,sell
1460,2015-12-10,47566650.69,0,47566650.69,4.95,sell
1461,2015-12-11,47566650.69,0,47566650.69,4.61,sell
1462,2015-12-14,1427003.4299999997,9552722,46420324.05,4.71,buy
1463,2015-12-15,1427003.4299999997,9552722,47184541.81,4.79,buy
1464,2015-12-16,1427003.4299999997,9552722,49190613.43,5.0,hold
1465,2015-12-17,46706905.71,0,46706905.71,4.79,sell
